Category 2|Category 3|Category 4|Extension|Description
Archive and compressed|||?Q?|files that are compressed, often by the SQ program.
Archive and compressed|||7z|7-zip compressed file
Archive and compressed|||A|an external file extension for C/C++
Archive and compressed|||AAC|Advanced Audio Coding
Archive and compressed|||ABB|Android App Bundle – is the Android (and Android TV) application publishing file format (required by Google Play) taking over from:
Archive and compressed|||APK|Android package: Applications installable on Android (also installable in derivatives and e.g. Windows 11); also a package format of the Alpine Linux distribution, see below under APK.
Archive and compressed|||ACE|ace: ACE compressed file
Archive and compressed|||ALZ|ALZip compressed file
Archive and compressed|||APK|"For Android see ABB/APK above (APK/Android apps also usable in Windows 11); The Alpine Linux distribution also use .apk files as a package format but then with un unrelated definition as in Android. They are often called ""a-packs""."
Archive and compressed|||APPX|Microsoft Application Package (.appx)
Archive and compressed|||APP|HarmonyOS APP Packs file format for HarmonyOS apps installable from AppGallery and third party OpenHarmony based app distribution stores.
Archive and compressed|||AT3|Sony's UMD data compression
Archive and compressed|||ARC|pre-Zip data compression
Archive and compressed|||ARC|Nintendo U8 Archive (mostly Yaz0 compressed)
Archive and compressed|||ARJ|ARJ compressed file
Archive and compressed|||ASS|ASS (also SSA): a subtitles file created by Aegisub, a video typesetting application (also a Halo game engine file)
Archive and compressed|||SSA|ASS (also SSA): a subtitles file created by Aegisub, a video typesetting application (also a Halo game engine file)
Archive and compressed|||B|(B file) Similar to .a, but less compressed.
Archive and compressed|||BA|BA: Scifer Archive (.ba), Scifer External Archive Type
Archive and compressed|||BIN|compressed archive, can be read and used by CD-ROMs and Java, extractable by 7-zip and WINRAR
Archive and compressed|||BKF|Microsoft backup created by NTBackup.c
Archive and compressed|||BLEND|An external 3D file format used by the animation software, Blender.
Archive and compressed|||BZ2|bzip2
Archive and compressed|||BMP|Bitmap Image – You can create one on Windows by right-clicking the home screen, next, click new, then, click Bitmap Image
Archive and compressed|||CAB|A cabinet file is a library of compressed files stored as one file. Cabinet files are used to organize installation files that are copied to the user's system.
Archive and compressed|||C4|JEDMICS image files, a DOD system
Archive and compressed|||CALS|JEDMICS image files, a DOD system
Archive and compressed|||XAML|Used in programs like Visual Studio to create exe files.
Archive and compressed|||CPT|Compact Pro (Macintosh)
Archive and compressed|||SEA|Compact Pro (Macintosh)
Archive and compressed|||CS|File extension for C-Sharp (C#) files
Archive and compressed|||DAA|DAA: Closed-format, Windows-only compressed disk image
Archive and compressed|||DEB|Debian install package
Archive and compressed|||DMG|an Apple compressed/encrypted format
Archive and compressed|||DDZ|"a file which can only be used by the ""daydreamer engine"" created by ""fever-dreamer"", a program similar to RAGS, it's mainly used to make somewhat short games."
Archive and compressed|||DN|Adobe Dimension CC file format
Archive and compressed|||DNG|"""Digital Negative"" a type of raw image file format used in digital photography."
Archive and compressed|||DPE|Package of AVE documents made with Aquafadas digital publishing tools.
Archive and compressed|||EGG|Alzip Egg Edition compressed file
Archive and compressed|||EGT|EGT Universal Document also used to create compressed cabinet files replaces .ecab
Archive and compressed|||ECAB|EGT Compressed Folder used in advanced systems to compress entire system folders, replaced by EGT Universal Document
Archive and compressed|||EZIP|EGT Compressed Folder used in advanced systems to compress entire system folders, replaced by EGT Universal Document
Archive and compressed|||ESD|ESD: Electronic Software Distribution, a compressed and encrypted WIM File
Archive and compressed|||ESS|EGT SmartSense File, detects files compressed using the EGT compression system.
Archive and compressed|||EXE|Windows application
Archive and compressed|||FLIPCHART|Used in Promethean ActivInspireFlipchart Software.
Archive and compressed|||FUN|A FUN file is a file that has been encrypted by Jigsaw ransomware, which is malware distributed by cybercriminals. It contains a file, such as a .JPG, .DOCX, .XLSX, .MP4, or .CSV file, that has been renamed and encrypted by the virus.
Archive and compressed|||FLM|FL Studio Mobile, can also be used as a project file.
Archive and compressed|||FLP|FL Studio Project File
Archive and compressed|||GBS|GBS OtterUI binary scene file
Archive and compressed|||GGP|GBS OtterUI binary scene file
Archive and compressed|||GSC|GBS OtterUI binary scene file
Archive and compressed|||GD|GDScript, belonging to Godot Game Engine
Archive and compressed|||GHO|GHO Norton Ghost
Archive and compressed|||GHS|GHO Norton Ghost
Archive and compressed|||GIF|GIF Graphics Interchange Format
Archive and compressed|||GIFV|Graphics Interchange Format Video, a format used for short, looping videos that combines the advantages of GIFs and videos, with better playback quality and lower file sizes
Archive and compressed|||GZ|gzip Compressed file
Archive and compressed|||HEIC|High-Efficiency Image Codec; less storage space than the equivalent quality JPEG
Archive and compressed|||IPG|Format in which Apple Inc. packages their iPod games. can be extracted through Winrar
Archive and compressed|||JAR|jar ZIP file with manifest for use with Java applications.
Archive and compressed|||JPG|Joint Photographic Experts Group – Image File
Archive and compressed|||JPEG|Joint Photographic Experts Group – Image File
Archive and compressed|||LAWRENCE|LBR Lawrence Compiler Type file
Archive and compressed|||LBR|LBR Library file
Archive and compressed|||LLSP3|Lego Spike program file
Archive and compressed|||LQR|LQR LBR Library file compressed by the SQ program.
Archive and compressed|||LZH|LHA Lempel, Ziv, Huffman
Archive and compressed|||LZ|lzip Compressed file
Archive and compressed|||LZO|lzo
Archive and compressed|||LZMA|lzma Lempel–Ziv–Markov chain algorithm compressed file
Archive and compressed|||LZX|LZX
Archive and compressed|||LUA|Lua
Archive and compressed|||MBW|MBRWizard archive
Archive and compressed|||MCWORLD|Zip archive used by Minecraft: Bedrock Edition containing all the files needed to load an in-game world.
Archive and compressed|||MHTML|Mime HTML (Hyper-Text Markup Language) code file
Archive and compressed|||MIDI|Musical Instrument Digital Interface
Archive and compressed|||MID|Musical Instrument Digital Interface
Archive and compressed|||MLOG|A file format intended to be used for Mindustry Logic
Archive and compressed|||MPQ|MPQ Archives Used by Blizzard Entertainment
Archive and compressed|||MUP|File type used by MindMupto export editable Mind Maps
Archive and compressed|||MM|File type used by FreeMindto export editable Mind Maps
Archive and compressed|||BIN|BIN MacBinary
Archive and compressed|||NL2PKG|NoLimits 2 Package
Archive and compressed|||NTH|NTH: Nokia Theme Used by Nokia Series 40 cellphones
Archive and compressed|||OAR|OAR: OAR archive
Archive and compressed|||OGG|Ogg Vorbis Compressed Audio File
Archive and compressed|||OSG|Compressed osu! live gameplay archive (optimized for spectating)
Archive and compressed|||PAK|Enhanced type of .ARC archive
Archive and compressed|||PAR|PAR Parchive
Archive and compressed|||PAR2|PAR Parchive
Archive and compressed|||PART|A file used with Stud.Io
Archive and compressed|||PAF|PAF Portable Application File
Archive and compressed|||PEA|PEA PeaZip archive file
Archive and compressed|||PNG|Portable Network Graphic Image File
Archive and compressed|||WEBP|Raster image format developed by Google for web graphics
Archive and compressed|||PHP|PHP code file
Archive and compressed|||PYK|PYK compressed file
Archive and compressed|||PK3|PK3 Quake 3 archive (see note on Doom³)
Archive and compressed|||PK4|PK4 Doom³ archive (opens similarly to a zip archive.)
Archive and compressed|||PNJ|a sub-format of the MNG file format, used for encapsulating JPEG files
Archive and compressed|||PXZ|a compressed layered image file used for the image editing website, pixlr.com
Archive and compressed|||PY|Python code file
Archive and compressed|||PYW|Python code file
Archive and compressed|||PMP|PenguinMod Project
Archive and compressed|||PMS|PenguinMod Sprite
Archive and compressed|||RAR|RAR Rar Archive, for multiple file archive (rar to .r01-.r99 to s01 and so on)
Archive and compressed|||RAG|"Game file, a game playable in the RAGS game-engine, a free program which both allows people to create games, and play games, games created have the format ""RAG game file"""
Archive and compressed|||RAGS|"Game file, a game playable in the RAGS game-engine, a free program which both allows people to create games, and play games, games created have the format ""RAG game file"""
Archive and compressed|||RaX|Archive file created by RaX
Archive and compressed|||RBXL|Roblox Studio place file (XML, binary)
Archive and compressed|||RBXLX|Roblox Studio place file (exclusively XML)
Archive and compressed|||RBXM|Roblox Studio model file (XML, binary)
Archive and compressed|||RBXMX|Roblox Studio model file (exclusively XML)
Archive and compressed|||RPM|Red Hat package/installer for Fedora, RHEL, and similar systems.
Archive and compressed|||SB|Scratch 1.x file
Archive and compressed|||SB2|Scratch 2.0 file
Archive and compressed|||SB3|Scratch 3.0 file
Archive and compressed|||SEN|Scifer Archive (.sen) – Scifer Internal Archive Type
Archive and compressed|||SF2|Polyphone Soundfont 2
Archive and compressed|||SF3|Polyphone Soundfont 3
Archive and compressed|||SF4|Polyphone Soundfont 4
Archive and compressed|||SITX|SIT StuffIt (Macintosh)
Archive and compressed|||SIS|SIS/SISX: Symbian Application Package
Archive and compressed|||SISX|SIS/SISX: Symbian Application Package
Archive and compressed|||SKB|Google SketchUp backup File
Archive and compressed|||SQ|SQ: Squish Compressed Archive
Archive and compressed|||SRT|SubRip Subtitle – file format for closed captioning or subtitles.
Archive and compressed|||SWM|Splitted WIM File, usually found on OEM Recovery Partition to store preinstalled Windows image, and to make Recovery backup (to USB Drive) easier (due to FAT32 limitations)
Archive and compressed|||SZS|Nintendo Yaz0 Compressed Archive
Archive and compressed|||TAR|TAR: group of files, packaged as one file
Archive and compressed|||TSCN|A file format typically used for scenes in the Godot Game Engine
Archive and compressed|||GZIP|(Gzip, .tar.gz): TGZ gzipped tar file
Archive and compressed|||TAR.GZ|(Gzip, .tar.gz): TGZ gzipped tar file
Archive and compressed|||TB|TB Tabbery Virtual Desktop Tab file
Archive and compressed|||TIB|TIB Acronis True Image backup
Archive and compressed|||UHA|Ultra High Archive Compression
Archive and compressed|||UUE|UUE unified utility engine – the generic and default format for all things UUe-related.
Archive and compressed|||UF2|USB Flashing Format; developed by Microsoft for PXT (also known as Microsoft MakeCode), that is particularly suitable for flashing microcontrollers over MSC (Mass Storage Class; aka removable flash drive).
Archive and compressed|||VIV|Archive format used to compress data for several video games, including Need For Speed: High Stakes.
Archive and compressed|||VOL|video game data package.
Archive and compressed|||VSA|Altiris Virtual Software Archive
Archive and compressed|||WAX|Wavexpress – A ZIP alternative optimized for packages containing video, allowing multiple packaged files to be all-or-none delivered with near-instantaneous unpacking via NTFS file system manipulation.
Archive and compressed|||WAV|a format for storing uncompressed audio files.
Archive and compressed|||WAVE|a format for storing uncompressed audio files.
Archive and compressed|||WFP|a Wondershare Filmora project file
Archive and compressed|||WIM|WIM A compressed disk image for installing Windows Vista or higher, Windows Fundamentals for Legacy PC, or restoring a system image made from Backup and Restore (Windows Vista/7)<!-- tar.xz removed because it is not an archive, it is an archive combination-->
Archive and compressed|||XAP|Windows Phone Application Package
Archive and compressed|||XZ|xz compressed files, based on LZMA/LZMA2 algorithm
Archive and compressed|||Z|Unix compress file
Archive and compressed|||ZOO|zoo: based on LZW
Archive and compressed|||ZIP|zip: popular compression format
Archive and compressed|||ZIM|ZIM: an open file format that stores wiki content for offline usage
Archive and compressed|Physical recordable media archiving||ISO|Generic format for most optical media, including CD-ROM, DVD-ROM, Blu-ray, HD DVD and UMD.
Archive and compressed|Physical recordable media archiving||NRG|Proprietary optical media archive format used by Nero applications.
Archive and compressed|Physical recordable media archiving||IMG|Raw disk image, for archiving DOS formatted floppy disks, hard drives, and larger optical media.
Archive and compressed|Physical recordable media archiving||ADF|for archiving Amiga floppy disks
Archive and compressed|Physical recordable media archiving||ADZ|The GZip-compressed version of ADF.
Archive and compressed|Physical recordable media archiving||DMS|a disk-archiving system native to the Amiga.
Archive and compressed|Physical recordable media archiving||DSK|For archiving floppy disks from a number of other platforms, including the ZX&nbsp;Spectrum and Amstrad CPC.
Archive and compressed|Physical recordable media archiving||D64|An archive of a Commodore 64 floppy disk.
Archive and compressed|Physical recordable media archiving||SDI|"used for archiving and providing ""virtual disk"" functionality."
Archive and compressed|Physical recordable media archiving||MDS|Daemon Tools native disc image format used for making images from optical CD-ROM, DVD-ROM, HD DVD or Blu-ray. It comes together with MDF file and can be mounted with DAEMON Tools.
Archive and compressed|Physical recordable media archiving||MDX|Daemon Tools format that allows getting one MDX disc image file instead of two (MDF and MDS).
Archive and compressed|Physical recordable media archiving||DMG|Macintosh disk image files
Archive and compressed|Physical recordable media archiving||CDI|DiscJuggler image file
Archive and compressed|Physical recordable media archiving||CUE|CDRWrite CUE image file
Archive and compressed|Physical recordable media archiving||CIF|Easy CD Creator .cif format
Archive and compressed|Physical recordable media archiving||C2D|Roxio-WinOnCD .c2d format
Archive and compressed|Physical recordable media archiving||DAA|PowerISO .daa format<!--
Archive and compressed|Physical recordable media archiving||CCD|"CCD,SUB,IMG: CloneCD image file removed because CCD and SUB are a file extension for a mapfile for creating and reading .IMG, .IMG is not specific to CloneCD, is already on ""Physical recordable media archiving""  -->"
Archive and compressed|Physical recordable media archiving||SUB|"CCD,SUB,IMG: CloneCD image file removed because CCD and SUB are a file extension for a mapfile for creating and reading .IMG, .IMG is not specific to CloneCD, is already on ""Physical recordable media archiving""  -->"
Archive and compressed|Physical recordable media archiving||IMG|"CCD,SUB,IMG: CloneCD image file removed because CCD and SUB are a file extension for a mapfile for creating and reading .IMG, .IMG is not specific to CloneCD, is already on ""Physical recordable media archiving""  -->"
Archive and compressed|Physical recordable media archiving||B6T|BlindWrite 6 image file
Archive and compressed|Physical recordable media archiving||B5T|BlindWrite 5 image file
Archive and compressed|Physical recordable media archiving||BWT|BlindWrite 4 image file
Archive and compressed|Physical recordable media archiving||FFPPKG|FreeFire Profile Export Package
Archive and compressed|LemonOS/LemonTabOS/LemonRoid||LEMONAPP|LemonOS/LemonTabOS/LemonRoid App (.lem_app)
Other extensions|||Msi|Windows installation file
Other extensions|||Vdhx|Virtual disk created by Hyper-V (Hyper-V runs on Microsoft Windows)
Computer-aided design|Computer-aided design (CAD)||3DXML|Dassault Systemes graphic representation
Computer-aided design|Computer-aided design (CAD)||3MF|Microsoft 3D Manufacturing Format
Computer-aided design|Computer-aided design (CAD)||ACP|VA Software VA – Virtual Architecture CAD file
Computer-aided design|Computer-aided design (CAD)||AMF|Additive Manufacturing File Format
Computer-aided design|Computer-aided design (CAD)||AEC|DataCAD drawing format
Computer-aided design|Computer-aided design (CAD)||AEDT|Ansys Electronic Desktop – Project file
Computer-aided design|Computer-aided design (CAD)||AR|Ashlar-Vellum Argon – 3D Modeling
Computer-aided design|Computer-aided design (CAD)||ART|ArtCAM model
Computer-aided design|Computer-aided design (CAD)||ASC|BRL-CAD Geometry File (old ASCII format)
Computer-aided design|Computer-aided design (CAD)||ASM|Solidedge Assembly, Pro/ENGINEER Assembly
Computer-aided design|Computer-aided design (CAD)||BIN|Data Design System DDS-CAD
Computer-aided design|Computer-aided design (CAD)||BIM|Data Design System DDS-CAD
Computer-aided design|Computer-aided design (CAD)||BREP|Open CASCADE 3D model (shape)
Computer-aided design|Computer-aided design (CAD)||C3D|C3D Toolkit File Format
Computer-aided design|Computer-aided design (CAD)||C3P|Construct3 Files
Computer-aided design|Computer-aided design (CAD)||CCC|CopyCAD Curves
Computer-aided design|Computer-aided design (CAD)||CCM|CopyCAD Model
Computer-aided design|Computer-aided design (CAD)||CCS|CopyCAD Session
Computer-aided design|Computer-aided design (CAD)||CAD|CadStd
Computer-aided design|Computer-aided design (CAD)||CATDrawing|CATIA V5 Drawing document
Computer-aided design|Computer-aided design (CAD)||CATPart|CATIA V5 Part document
Computer-aided design|Computer-aided design (CAD)||CATProduct|CATIA V5 Assembly document
Computer-aided design|Computer-aided design (CAD)||CATProcess|CATIA V5 Manufacturing document
Computer-aided design|Computer-aided design (CAD)||CGR|CATIA V5 graphic representation file
Computer-aided design|Computer-aided design (CAD)||CKD|KeyCreator CAD parts, assemblies, and drawings
Computer-aided design|Computer-aided design (CAD)||CKT|KeyCreator template file
Computer-aided design|Computer-aided design (CAD)||CO|Ashlar-Vellum Cobalt – parametric drafting and 3D modeling
Computer-aided design|Computer-aided design (CAD)||DAB|AppliCad 3D model CAD file
Computer-aided design|Computer-aided design (CAD)||DRW|Caddie Early version of Caddie drawing – Prior to Caddie changing to DWG
Computer-aided design|Computer-aided design (CAD)||DFT|Solidedge Draft
Computer-aided design|Computer-aided design (CAD)||DGN|MicroStation design file
Computer-aided design|Computer-aided design (CAD)||DGK|Delcam Geometry
Computer-aided design|Computer-aided design (CAD)||DMT|Delcam Machining Triangles
Computer-aided design|Computer-aided design (CAD)||DXF|ASCII Drawing Interchange file format, AutoCAD
Computer-aided design|Computer-aided design (CAD)||DWB|VariCAD drawing file
Computer-aided design|Computer-aided design (CAD)||DWF|Autodesk's Web Design Format; AutoCAD & Revit can publish to this format; similar in concept to PDF files; Autodesk Design Review is the reader
Computer-aided design|Computer-aided design (CAD)||DWG|Popular file format for Computer Aided Drafting applications, notably AutoCAD, Open Design Alliance applications, and Autodesk Inventor Drawing files
Computer-aided design|Computer-aided design (CAD)||EASM|SolidWorks eDrawings assembly file
Computer-aided design|Computer-aided design (CAD)||EDRW|eDrawings drawing file
Computer-aided design|Computer-aided design (CAD)||EMB|Wilcom ES Designer Embroidery CAD file
Computer-aided design|Computer-aided design (CAD)||EPRT|eDrawings part file
Computer-aided design|Computer-aided design (CAD)||EscPcb|"""esCAD pcb"" data file by Electro-System (Japan)"
Computer-aided design|Computer-aided design (CAD)||EscSch|"""esCAD sch"" data file by Electro-System (Japan)"
Computer-aided design|Computer-aided design (CAD)||ESW|AGTEK format
Computer-aided design|Computer-aided design (CAD)||EXCELLON|Excellon file
Computer-aided design|Computer-aided design (CAD)||EXP|Drawing Express format
Computer-aided design|Computer-aided design (CAD)||F3D|Autodesk Fusion 360 archive file
Computer-aided design|Computer-aided design (CAD)||FCStd|Native file format of FreeCAD CAD/CAM package
Computer-aided design|Computer-aided design (CAD)||FM|FeatureCAM Part File
Computer-aided design|Computer-aided design (CAD)||FMZ|FormZ Project file
Computer-aided design|Computer-aided design (CAD)||G|BRL-CAD Geometry File
Computer-aided design|Computer-aided design (CAD)||GBR|Gerber file
Computer-aided design|Computer-aided design (CAD)||GLM|KernelCAD model
Computer-aided design|Computer-aided design (CAD)||GRB|T-FLEX CAD File
Computer-aided design|Computer-aided design (CAD)||GRI|AppliCad GRIM-In file in readable text form for importing roof and wall cladding job data generated by business management and accounting systems into the modelling/estimating program
Computer-aided design|Computer-aided design (CAD)||GRO|AppliCad GRIM-Out file in readable text form for exporting roof and wall cladding data job material and labour costing data, material lists generated by the modelling/estimating program to business management and accounting systems
Computer-aided design|Computer-aided design (CAD)||IAM|Autodesk Inventor Assembly file
Computer-aided design|Computer-aided design (CAD)||ICD|IronCAD 2D CAD file
Computer-aided design|Computer-aided design (CAD)||IDW|Autodesk Inventor Drawing file
Computer-aided design|Computer-aided design (CAD)||IFC|buildingSMART for sharing AEC and FM data
Computer-aided design|Computer-aided design (CAD)||IGES|Initial Graphics Exchange Specification
Computer-aided design|Computer-aided design (CAD)||DGN|Intergraph Standard File Formats Intergraph
Computer-aided design|Computer-aided design (CAD)||CEL|Intergraph Standard File Formats Intergraph
Computer-aided design|Computer-aided design (CAD)||IO|Stud.io 3D model
Computer-aided design|Computer-aided design (CAD)||IPN|Autodesk Inventor Presentation file
Computer-aided design|Computer-aided design (CAD)||IPT|Autodesk Inventor Part file
Computer-aided design|Computer-aided design (CAD)||JT|Jupiter Tesselation
Computer-aided design|Computer-aided design (CAD)||MCD|Monu-CAD (Monument/Headstone Drawing file)
Computer-aided design|Computer-aided design (CAD)||MDG|Model of Digital Geometric Kernel
Computer-aided design|Computer-aided design (CAD)||model|CATIA V4 part document
Computer-aided design|Computer-aided design (CAD)||OCD|Orienteering Computer Aided Design (OCAD) file
Computer-aided design|Computer-aided design (CAD)||PAR|Solidedge Part
Computer-aided design|Computer-aided design (CAD)||PIPE|PIPE-FLO Professional Piping system design file
Computer-aided design|Computer-aided design (CAD)||PLN|ArchiCad project
Computer-aided design|Computer-aided design (CAD)||PRT|NX (recently known as Unigraphics), Pro/ENGINEER Part, CADKEY Part
Computer-aided design|Computer-aided design (CAD)||PSM|Solidedge Sheet
Computer-aided design|Computer-aided design (CAD)||PSMODEL|PowerSHAPE Model
Computer-aided design|Computer-aided design (CAD)||PWI|PowerINSPECT File
Computer-aided design|Computer-aided design (CAD)||PYT|Pythagoras File
Computer-aided design|Computer-aided design (CAD)||SKP|SketchUp Model
Computer-aided design|Computer-aided design (CAD)||RLF|ArtCAM Relief
Computer-aided design|Computer-aided design (CAD)||RVM|AVEVA PDMS 3D Review model
Computer-aided design|Computer-aided design (CAD)||RVT|Autodesk Revit project files
Computer-aided design|Computer-aided design (CAD)||RFA|Autodesk Revit family files
Computer-aided design|Computer-aided design (CAD)||RFT|Autodesk Revit Revit Family Template
Computer-aided design|Computer-aided design (CAD)||RXF|AppliCad annotated 3D roof and wall geometry data in readable text form used to exchange 3D model geometry with other systems such as truss design software
Computer-aided design|Computer-aided design (CAD)||S12|Spirit file, by Softtech
Computer-aided design|Computer-aided design (CAD)||SCAD|OpenSCAD 3D part model
Computer-aided design|Computer-aided design (CAD)||SCDOC|SpaceClaim 3D Part/Assembly
Computer-aided design|Computer-aided design (CAD)||SKP|Sketchup
Computer-aided design|Computer-aided design (CAD)||SLDASM|SolidWorks Assembly drawing
Computer-aided design|Computer-aided design (CAD)||SLDDRW|SolidWorks 2D drawing
Computer-aided design|Computer-aided design (CAD)||SLDPRT|SolidWorks 3D part model
Computer-aided design|Computer-aided design (CAD)||dotXSI|For Softimage
Computer-aided design|Computer-aided design (CAD)||STATE|A file used by the IaC tool to record information about what has been deployed by the tool.
Computer-aided design|Computer-aided design (CAD)||STEP|Standard for the Exchange of Product model data
Computer-aided design|Computer-aided design (CAD)||STL|Stereo Lithographic data format used by various CAD systems and stereo lithographic printing machines.
Computer-aided design|Computer-aided design (CAD)||STD|Power Vision Plus – Electricity Meter Data (Circuitor)
Computer-aided design|Computer-aided design (CAD)||TCT|TurboCAD drawing template
Computer-aided design|Computer-aided design (CAD)||TCW|TurboCAD for Windows 2D and 3D drawing
Computer-aided design|Computer-aided design (CAD)||UNV|I-DEAS I-DEAS (Integrated Design and Engineering Analysis Software)
Computer-aided design|Computer-aided design (CAD)||VC6|Ashlar-Vellum Graphite – 2D and 3D drafting
Computer-aided design|Computer-aided design (CAD)||VLM|Ashlar-Vellum Vellum, Vellum 2D, Vellum Draft, Vellum 3D, DrawingBoard
Computer-aided design|Computer-aided design (CAD)||VS|Ashlar-Vellum Vellum Solids
Computer-aided design|Computer-aided design (CAD)||WRL|Similar to STL, but includes color. Used by various CAD systems and 3D printing rapid prototyping machines. Also used for VRML models on the web.
Computer-aided design|Computer-aided design (CAD)||X_B|Parasolids binary format
Computer-aided design|Computer-aided design (CAD)||X_T|Parasolids
Computer-aided design|Computer-aided design (CAD)||XE|Ashlar-Vellum Xenon – for associative 3D modeling
Computer-aided design|Computer-aided design (CAD)||ZOFZPROJ|ZofzPCB 3D PCB model, containing mesh, netlist and BOM
Computer-aided design|Electronic design automation (EDA)||BRD|Board file for EAGLE Layout Editor, a commercial PCB design tool
Computer-aided design|Electronic design automation (EDA)||BSDL|Description language for testing through JTAG
Computer-aided design|Electronic design automation (EDA)||CDL|Transistor-level netlist format for IC design
Computer-aided design|Electronic design automation (EDA)||CPF|Power-domain specification in system-on-a-chip (SoC) implementation (see also UPF)
Computer-aided design|Electronic design automation (EDA)||DEF|Gate-level layout
Computer-aided design|Electronic design automation (EDA)||Detailed Standard Parasitic Format|Detailed Standard Parasitic Format, Analog-level Parastic component of interconnections in IC design
Computer-aided design|Electronic design automation (EDA)||EDIF|Vendor neutral gate-level netlist format
Computer-aided design|Electronic design automation (EDA)||FSDB|Analog waveform format (see also Waveform viewer)
Computer-aided design|Electronic design automation (EDA)||GDSII|Format for PCB and layout of integrated circuits
Computer-aided design|Electronic design automation (EDA)||HEX|ASCII-coded binary format for memory dumps
Computer-aided design|Electronic design automation (EDA)||LEF|Library Exchange Format, physical abstract of cells for IC design
Computer-aided design|Electronic design automation (EDA)||Liberty (EDA)|Library modeling (function, timing) format
Computer-aided design|Electronic design automation (EDA)||MS12|NI Multisim file
Computer-aided design|Electronic design automation (EDA)||OASIS|Open Artwork System Interchange Standard
Computer-aided design|Electronic design automation (EDA)||OpenAccess|Design database format with APIs
Computer-aided design|Electronic design automation (EDA)||PSF|Cadence proprietary format to store simulation results/waveforms (2GB limit)
Computer-aided design|Electronic design automation (EDA)||PSFXL|Cadence proprietary format to store simulation results/waveforms
Computer-aided design|Electronic design automation (EDA)||SDC|Synopsys Design Constraints, format for synthesis constraints
Computer-aided design|Electronic design automation (EDA)||SDF|Standard for gate-level timings
Computer-aided design|Electronic design automation (EDA)||SPEF|Standard format for Parasitic component of interconnections in IC design
Computer-aided design|Electronic design automation (EDA)||SPI|SPICE Netlist, device-level netlist and commands for simulation
Computer-aided design|Electronic design automation (EDA)||CIR|SPICE Netlist, device-level netlist and commands for simulation
Computer-aided design|Electronic design automation (EDA)||SREC|S-record, ASCII-coded format for memory dumps
Computer-aided design|Electronic design automation (EDA)||S19|S-record, ASCII-coded format for memory dumps
Computer-aided design|Electronic design automation (EDA)||SST2|Cadence proprietary format to store mixed-signal simulation results/waveforms
Computer-aided design|Electronic design automation (EDA)||STIL|Standard Test Interface Language, IEEE1450-1999 standard for Test Patterns for IC
Computer-aided design|Electronic design automation (EDA)||SV|SystemVerilog source file
Computer-aided design|Electronic design automation (EDA)||SP|Touchstone/EEsof Scattering parameter data file – multi-port blackbox performance, measurement or simulated
Computer-aided design|Electronic design automation (EDA)||TLF|Contains timing and logical information about a collection of cells (circuit elements)
Computer-aided design|Electronic design automation (EDA)||UPF|Standard for Power-domain specification in SoC implementation
Computer-aided design|Electronic design automation (EDA)||V|Verilog source file
Computer-aided design|Electronic design automation (EDA)||VCD|Standard format for digital simulation waveform
Computer-aided design|Electronic design automation (EDA)||VHD|VHDL source file
Computer-aided design|Electronic design automation (EDA)||VHDL|VHDL source file
Computer-aided design|Electronic design automation (EDA)||WGL|Waveform Generation Language, format for Test Patterns for IC
Database|||4DB|4D database Structure file
Database|||4DC|4D database Structure file (compiled in legacy mode)
Database|||4DD|4D database Data file
Database|||4DIndy|4D database Structure Index file
Database|||4DIndx|4D database Data Index file
Database|||4DR|4D database Data resource file (in old 4D versions)
Database|||4DZ|4D database Structure file (compiled in 4D Project mode)
Database|||ACCDB|Microsoft Database (Microsoft Office Access 2007 and later)
Database|||ACCDE|Compiled Microsoft Database (Microsoft Office Access 2007 and later)
Database|||ADT|Sybase Advantage Database Server (ADS)
Database|||APR|Lotus Approach data entry & reports
Database|||BOX|Lotus Notes Post Office mail routing database
Database|||CHML|Krasbit Technologies Encrypted database file for 1 click integration between contact management software and the Chameleon Software
Database|||DAF|Digital Anchor data file
Database|||DAT|DOS Basic
Database|||DAT|Intersystems Caché database file
Database|||DB|Paradox
Database|||DB|SQLite
Database|||DBF|db/dbase II,III,IV and V, Clipper, Harbour/xHarbour, Fox/FoxPro, Oracle
Database|||DTA|Sage Sterling database file
Database|||EGT|EGT Universal Document, used to compress sql databases to smaller files, may contain original EGT database style.
Database|||ESS|EGT SmartSense is a database of files and its compression style. Specific to EGT SmartSense
Database|||EAP|Enterprise Architect Project
Database|||FDB|Firebird Databases
Database|||FDB|Navision database file
Database|||FP|FileMaker Pro
Database|||FP3|FileMaker Pro
Database|||FP5|FileMaker Pro
Database|||FP7|FileMaker Pro
Database|||FRM|MySQL table definition
Database|||GDB|Borland InterBase Databases
Database|||GTABLE|Google Drive Fusion Table
Database|||KEXI|Kexi database file (SQLite-based)
Database|||KEXIC|shortcut to a database connection for a Kexi databases on a server
Database|||KEXIS|shortcut to a Kexi database
Database|||LDB|Temporary database file, only existing when database is open
Database|||LIRS|Layered Intager Storage. Stores intageres with characters such as semicolons to create lists of data.
Database|||MDA|Add-in file for Microsoft Access
Database|||MDB|Microsoft Access database
Database|||ADP|Microsoft Access project (used for accessing databases on a server)
Database|||MDE|Compiled Microsoft Database (Access)
Database|||MDF|Microsoft SQL Server Database
Database|||MYD|MySQL MyISAM table data
Database|||MYI|MySQL MyISAM table index
Database|||NCF|Lotus Notes configuration file
Database|||NSF|Lotus Notes database
Database|||NTF|Lotus Notes database design template
